Data1,Data2,Inter-Hamming Distance,Percentage(%)
0,1,2576,50.57922638916159
0,2,2537,49.813469467897114
0,3,2517,49.4207736108384
0,4,2573,50.52032201060279
0,5,2535,49.77419988219125
0,6,2539,49.85273905360298
0,7,2487,48.83172982525034
0,8,2516,49.40113881798547
0,9,2608,51.207539760455525
0,10,2572,50.50068721774985
0,11,2596,50.9719222462203
0,12,2504,49.165521303750246
0,13,2533,49.73493029648537
0,14,2531,49.6956607107795
0,15,2532,49.71529550363243
0,16,2534,49.75456508933831
0,17,2535,49.77419988219125
0,18,2533,49.73493029648537
0,19,2571,50.48105242489692
0,20,2652,52.07147064598468
0,21,2597,50.99155703907324
0,22,2526,49.597486746514825
0,23,2513,49.34223443942666
0,24,2617,51.38425289613194
0,25,2548,50.0294521892794
0,26,2573,50.52032201060279
0,27,2606,51.16827017474965
0,28,2566,50.38287846063224
0,29,2477,48.63538189672099
0,30,2534,49.75456508933831
0,31,2528,49.63675633222069
0,32,2563,50.323974082073434
0,33,2528,49.63675633222069
0,34,2573,50.52032201060279
0,35,2536,49.79383467504418
0,36,2537,49.813469467897114
0,37,2537,49.813469467897114
0,38,2569,50.44178283919105
0,39,2544,49.95091301786766
0,40,2597,50.99155703907324
0,41,2563,50.323974082073434
0,42,2537,49.813469467897114
0,43,2502,49.12625171804437
0,44,2528,49.63675633222069
0,45,2556,50.18653053210289
0,46,2555,50.16689573924995
0,47,2527,49.61712153936776
0,48,2489,48.87099941095621
0,49,2572,50.50068721774985
0,50,2571,50.48105242489692
0,51,2530,49.676025917926566
0,52,2550,50.06872177498527
0,53,2605,51.148635381896725
0,54,2570,50.46141763204398
0,55,2585,50.75593952483801
0,56,2519,49.46004319654428
0,57,2564,50.343608874926375
0,58,2564,50.343608874926375
0,59,2633,51.69840958177892
0,60,2554,50.14726094639702
0,61,2569,50.44178283919105
0,62,2567,50.40251325348517
0,63,2559,50.24543491066169
0,64,2541,49.892008639308855
0,65,2557,50.20616532495582
0,66,2545,49.970547810720596
0,67,2610,51.24680934616139
0,68,2479,48.67465148242686
0,69,2558,50.22580011780876
0,70,2511,49.302964853720795
0,71,2588,50.81484390339682
0,72,2548,50.0294521892794
0,73,2518,49.44040840369134
0,74,2528,49.63675633222069
0,75,2583,50.71666993913214
0,76,2562,50.3043392892205
0,77,2562,50.3043392892205
0,78,2543,49.93127822501472
0,79,2558,50.22580011780876
0,80,2533,49.73493029648537
0,81,2551,50.08835656783821
0,82,2535,49.77419988219125
0,83,2581,50.67740035342627
0,84,2539,49.85273905360298
0,85,2507,49.224425682309054
0,86,2558,50.22580011780876
0,87,2586,50.77557431769095
0,88,2585,50.75593952483801
0,89,2525,49.57785195366189
0,90,2577,50.59886118201453
0,91,2543,49.93127822501472
0,92,2597,50.99155703907324
0,93,2584,50.73630473198508
0,94,2591,50.87374828195562
0,95,2524,49.55821716080895
0,96,2518,49.44040840369134
0,97,2568,50.42214804633811
